Date,CHN,EUR,GBP,USD,SDR,YEN,ZAR
"06 May 2026",0.5192,0.0649,0.0560,0.0761,0.0554,11.9000,1.2563
"05 May 2026",0.5149,0.0645,0.0557,0.0753,0.0550,11.8500,1.2668
"04 May 2026",0.5179,0.0647,0.0559,0.0760,0.0553,11.9100,1.2593
"30 Apr 2026",0.5142,0.0644,0.0558,0.0751,0.0549,12.0700,1.2678
"29 Apr 2026",0.5191,0.0648,0.0562,0.0759,0.0554,12.1300,1.2569
"28 Apr 2026",0.5184,0.0648,0.0561,0.0759,0.0554,12.0800,1.2589
"27 Apr 2026",0.5191,0.0648,0.0562,0.0760,0.0554,12.1100,1.2577
"24 Apr 2026",0.5175,0.0648,0.0562,0.0757,0.0553,12.0900,1.2609
"23 Apr 2026",0.5198,0.0650,0.0564,0.0761,0.0555,12.1400,1.2558
"22 Apr 2026",0.5209,0.0649,0.0564,0.0763,0.0556,12.1500,1.2542
"21 Apr 2026",0.5214,0.0650,0.0566,0.0765,0.0557,12.1600,1.2524
"20 Apr 2026",0.5209,0.0650,0.0566,0.0764,0.0557,12.1400,1.2541
"17 Apr 2026",0.5213,0.0649,0.0565,0.0764,0.0556,12.1800,1.2548
"16 Apr 2026",0.5222,0.0649,0.0565,0.0766,0.0557,12.1700,1.2529
"15 Apr 2026",0.5224,0.0650,0.0565,0.0766,0.0558,12.1800,1.2524
"14 Apr 2026",0.5210,0.0650,0.0566,0.0764,0.0557,12.1700,1.2546
"13 Apr 2026",0.5193,0.0650,0.0567,0.0760,0.0555,12.1400,1.2579
"10 Apr 2026",0.5211,0.0653,0.0569,0.0763,0.0557,12.1500,1.2540
"09 Apr 2026",0.5211,0.0654,0.0570,0.0762,0.0557,12.1100,1.2538
"08 Apr 2026",0.5212,0.0653,0.0568,0.0764,0.0557,12.0700,1.2545
"07 Apr 2026",0.5162,0.0651,0.0567,0.0751,0.0552,11.9900,1.2676
"02 Apr 2026",0.5153,0.0649,0.0566,0.0748,0.0550,11.9200,1.2718
"01 Apr 2026",0.5176,0.0649,0.0566,0.0752,0.0552,11.9200,1.2677
"31 Mar 2026",0.5147,0.0649,0.0564,0.0745,0.0549,11.8800,1.2752
"30 Mar 2026",0.5162,0.0649,0.0563,0.0747,0.0549,11.9300,1.2738
"27 Mar 2026",0.5167,0.0647,0.0560,0.0747,0.0549,11.9200,1.2754
"26 Mar 2026",0.5170,0.0648,0.0560,0.0749,0.0550,11.9400,1.2739
"25 Mar 2026",0.5177,0.0647,0.0561,0.0750,0.0550,11.9300,1.2729
"24 Mar 2026",0.5178,0.0649,0.0560,0.0751,0.0551,11.9200,1.2717
"23 Mar 2026",0.5145,0.0646,0.0560,0.0744,0.0547,11.8700,1.2804
"20 Mar 2026",0.5202,0.0652,0.0562,0.0754,0.0553,11.9500,1.2666
"19 Mar 2026",0.5165,0.0653,0.0564,0.0748,0.0551,11.9500,1.2717
"18 Mar 2026",0.5213,0.0657,0.0567,0.0759,0.0557,12.0300,1.2597
"17 Mar 2026",0.5194,0.0657,0.0567,0.0754,0.0555,12.0200,1.2638
"16 Mar 2026",0.5186,0.0657,0.0567,0.0751,0.0554,11.9700,1.2663
"13 Mar 2026",0.5188,0.0655,0.0565,0.0753,0.0554,12.0000,1.2666
"12 Mar 2026",0.5228,0.0658,0.0568,0.0760,0.0558,12.0800,1.2581
"11 Mar 2026",0.5274,0.0661,0.0571,0.0769,0.0562,12.1400,1.2486
"10 Mar 2026",0.5280,0.0660,0.0570,0.0767,0.0561,12.0900,1.2509
"09 Mar 2026",0.5214,0.0652,0.0566,0.0754,0.0554,11.9500,1.2685
"06 Mar 2026",0.5246,0.0654,0.0569,0.0759,0.0557,11.9900,1.2619
"05 Mar 2026",0.5268,0.0659,0.0573,0.0764,0.0560,12.0000,1.2553
"04 Mar 2026",0.5266,0.0655,0.0571,0.0761,0.0558,11.9800,1.2601
"03 Mar 2026",0.5318,0.0661,0.0577,0.0771,0.0564,12.1300,1.2461
"02 Mar 2026",0.5316,0.0658,0.0577,0.0772,0.0564,12.1300,1.2474
"27 Feb 2026",0.5342,0.0660,0.0579,0.0780,0.0567,12.1500,1.2404
"26 Feb 2026",0.5340,0.0661,0.0576,0.0781,0.0568,12.1900,1.2390
"25 Feb 2026",0.5352,0.0660,0.0576,0.0779,0.0567,12.1300,1.2413
"24 Feb 2026",0.5353,0.0659,0.0576,0.0777,0.0565,12.0500,1.2446
"23 Feb 2026",0.5359,0.0658,0.0575,0.0778,0.0565,12.0100,1.2450
"20 Feb 2026",0.5336,0.0658,0.0575,0.0773,0.0564,12.0000,1.2492
"19 Feb 2026",0.5359,0.0658,0.0575,0.0777,0.0565,12.0500,1.2461
"18 Feb 2026",0.5360,0.0657,0.0574,0.0779,0.0565,11.9500,1.2462
"17 Feb 2026",0.5363,0.0657,0.0572,0.0778,0.0565,11.9000,1.2475
"16 Feb 2026",0.5378,0.0658,0.0573,0.0781,0.0566,11.9600,1.2442
"13 Feb 2026",0.5378,0.0657,0.0573,0.0779,0.0565,11.9300,1.2472
"12 Feb 2026",0.5393,0.0659,0.0574,0.0781,0.0567,11.9800,1.2436
"11 Feb 2026",0.5406,0.0657,0.0572,0.0782,0.0567,11.9800,1.2445
"10 Feb 2026",0.5400,0.0657,0.0572,0.0782,0.0567,12.1500,1.2446
"09 Feb 2026",0.5398,0.0658,0.0573,0.0779,0.0566,12.1900,1.2453
"06 Feb 2026",0.5366,0.0655,0.0570,0.0773,0.0563,12.1300,1.2529
"05 Feb 2026",0.5380,0.0658,0.0569,0.0775,0.0565,12.1600,1.2500
"04 Feb 2026",0.5410,0.0660,0.0569,0.0780,0.0567,12.2000,1.2445
"03 Feb 2026",0.5411,0.0660,0.0569,0.0780,0.0567,12.1300,1.2449
"02 Feb 2026",0.5368,0.0652,0.0565,0.0772,0.0561,11.9600,1.2587
"30 Jan 2026",0.5446,0.0658,0.0570,0.0784,0.0568,12.0600,1.2439
"29 Jan 2026",0.5481,0.0659,0.0571,0.0790,0.0570,12.0800,1.2387
"28 Jan 2026",0.5456,0.0655,0.0569,0.0786,0.0568,12.0100,1.2445
"27 Jan 2026",0.5422,0.0657,0.0570,0.0780,0.0566,12.0500,1.2490
"26 Jan 2026",0.5414,0.0657,0.0570,0.0779,0.0565,12.0100,1.2506
"23 Jan 2026",0.5395,0.0660,0.0575,0.0775,0.0566,12.3000,1.2486
"22 Jan 2026",0.5363,0.0659,0.0574,0.0771,0.0564,12.2400,1.2539
"21 Jan 2026",0.5349,0.0656,0.0572,0.0768,0.0562,12.1500,1.2594
"20 Jan 2026",0.5338,0.0658,0.0571,0.0767,0.0562,12.1600,1.2591
"19 Jan 2026",0.5337,0.0660,0.0572,0.0767,0.0562,12.1100,1.2589
"16 Jan 2026",0.5350,0.0662,0.0574,0.0768,0.0564,12.1700,1.2562
"15 Jan 2026",0.5346,0.0659,0.0571,0.0767,0.0562,12.1700,1.2590
"14 Jan 2026",0.5359,0.0660,0.0572,0.0768,0.0563,12.2400,1.2572
"13 Jan 2026",0.5350,0.0658,0.0570,0.0767,0.0562,12.2000,1.2601
"12 Jan 2026",0.5346,0.0657,0.0571,0.0767,0.0562,12.1200,1.2616
"09 Jan 2026",0.5341,0.0657,0.0570,0.0765,0.0560,12.0400,1.2648
"08 Jan 2026",0.5350,0.0656,0.0569,0.0766,0.0561,12.0000,1.2644
"07 Jan 2026",0.5375,0.0658,0.0570,0.0770,0.0563,12.0300,1.2602
"06 Jan 2026",0.5382,0.0657,0.0569,0.0771,0.0563,12.0700,1.2594
"05 Jan 2026",0.5347,0.0656,0.0571,0.0766,0.0561,12.0400,1.2651
"31 Dec 2025",0.5342,0.0652,0.0568,0.0765,0.0559,11.9800,1.2701
"30 Dec 2025",0.5340,0.0649,0.0566,0.0764,0.0557,11.9300,1.2733
"29 Dec 2025",0.5350,0.0649,0.0566,0.0764,0.0558,11.9300,1.2733
"24 Dec 2025",0.5358,0.0648,0.0565,0.0764,0.0557,11.9000,1.2743
"23 Dec 2025",0.5357,0.0648,0.0566,0.0763,0.0557,11.9100,1.2754
"22 Dec 2025",0.5357,0.0650,0.0569,0.0762,0.0557,11.9800,1.2744
"19 Dec 2025",0.5358,0.0650,0.0569,0.0762,0.0557,11.8800,1.2755
"18 Dec 2025",0.5358,0.0648,0.0570,0.0761,0.0557,11.8700,1.2766
"17 Dec 2025",0.5363,0.0650,0.0569,0.0762,0.0557,11.8300,1.2763
"16 Dec 2025",0.5353,0.0647,0.0569,0.0761,0.0556,11.7800,1.2793
"15 Dec 2025",0.5356,0.0647,0.0569,0.0760,0.0556,11.7800,1.2801
"12 Dec 2025",0.5359,0.0647,0.0567,0.0760,0.0556,11.8400,1.2802
"11 Dec 2025",0.5341,0.0648,0.0566,0.0757,0.0554,11.8100,1.2836
"10 Dec 2025",0.5325,0.0649,0.0567,0.0754,0.0554,11.8200,1.2850
"09 Dec 2025",0.5334,0.0648,0.0566,0.0754,0.0554,11.7800,1.2860
"08 Dec 2025",0.5352,0.0649,0.0568,0.0757,0.0555,11.7600,1.2824
"05 Dec 2025",0.5349,0.0649,0.0567,0.0757,0.0555,11.7000,1.2837
"04 Dec 2025",0.5331,0.0647,0.0566,0.0754,0.0553,11.7200,1.2876
"03 Dec 2025",0.5319,0.0647,0.0569,0.0754,0.0553,11.7200,1.2882
"02 Dec 2025",0.5325,0.0649,0.0570,0.0753,0.0553,11.7300,1.2878
"01 Dec 2025",0.5317,0.0649,0.0569,0.0752,0.0553,11.7000,1.2894
"28 Nov 2025",0.5315,0.0648,0.0568,0.0751,0.0553,11.7500,1.2902
"27 Nov 2025",0.5326,0.0649,0.0568,0.0753,0.0553,11.7500,1.2890
"26 Nov 2025",0.5320,0.0648,0.0570,0.0752,0.0553,11.7300,1.2903
"25 Nov 2025",0.5308,0.0649,0.0571,0.0748,0.0552,11.7300,1.2927
"24 Nov 2025",0.5307,0.0648,0.0570,0.0747,0.0551,11.7000,1.2953
"21 Nov 2025",0.5330,0.0649,0.0572,0.0749,0.0552,11.7700,1.2920
"20 Nov 2025",0.5336,0.0651,0.0574,0.0750,0.0554,11.8100,1.2896
"19 Nov 2025",0.5348,0.0649,0.0572,0.0752,0.0554,11.6800,1.2901
"18 Nov 2025",0.5343,0.0648,0.0571,0.0751,0.0553,11.6500,1.2926
"17 Nov 2025",0.5354,0.0649,0.0573,0.0753,0.0554,11.6600,1.2894
"14 Nov 2025",0.5360,0.0649,0.0574,0.0755,0.0555,11.6700,1.2881
"13 Nov 2025",0.5355,0.0651,0.0575,0.0754,0.0555,11.6800,1.2885
"12 Nov 2025",0.5360,0.0650,0.0573,0.0753,0.0554,11.6400,1.2902
"11 Nov 2025",0.5360,0.0651,0.0571,0.0752,0.0554,11.6100,1.2908
"10 Nov 2025",0.5343,0.0649,0.0570,0.0750,0.0552,11.5500,1.2948
"07 Nov 2025",0.5328,0.0648,0.0570,0.0748,0.0551,11.4700,1.2986
"06 Nov 2025",0.5322,0.0649,0.0572,0.0747,0.0551,11.4900,1.2990
"05 Nov 2025",0.5309,0.0648,0.0572,0.0744,0.0550,11.4400,1.3023
"04 Nov 2025",0.5328,0.0649,0.0570,0.0748,0.0551,11.4800,1.2993
"03 Nov 2025",0.5336,0.0650,0.0570,0.0750,0.0552,11.5600,1.2966
"31 Oct 2025",0.5333,0.0648,0.0570,0.0750,0.0552,11.5500,1.2979
"30 Oct 2025",0.5351,0.0648,0.0570,0.0753,0.0553,11.5300,1.2955
"29 Oct 2025",0.5357,0.0649,0.0570,0.0755,0.0554,11.4900,1.2942
"28 Oct 2025",0.5350,0.0646,0.0564,0.0754,0.0552,11.4600,1.2984
"27 Oct 2025",0.5362,0.0648,0.0566,0.0754,0.0553,11.5400,1.2960
"24 Oct 2025",0.5352,0.0647,0.0564,0.0751,0.0551,11.4900,1.3002
"23 Oct 2025",0.5338,0.0646,0.0561,0.0749,0.0550,11.4200,1.3042
"22 Oct 2025",0.5346,0.0646,0.0562,0.0750,0.0550,11.3900,1.3031
"21 Oct 2025",0.5361,0.0647,0.0563,0.0753,0.0552,11.4100,1.3000
"20 Oct 2025",0.5354,0.0644,0.0560,0.0752,0.0550,11.3200,1.3045
"17 Oct 2025",0.5357,0.0642,0.0559,0.0752,0.0549,11.2700,1.3068
"16 Oct 2025",0.5363,0.0645,0.0561,0.0752,0.0551,11.3700,1.3034
"15 Oct 2025",0.5361,0.0647,0.0563,0.0752,0.0552,11.3600,1.3021
"14 Oct 2025",0.5350,0.0647,0.0563,0.0749,0.0550,11.3700,1.3049
"13 Oct 2025",0.5366,0.0647,0.0563,0.0752,0.0551,11.4200,1.3028
"10 Oct 2025",0.5375,0.0652,0.0567,0.0754,0.0554,11.5300,1.2963
"09 Oct 2025",0.5385,0.0651,0.0565,0.0755,0.0554,11.5400,1.2966
"08 Oct 2025",0.5385,0.0649,0.0563,0.0753,0.0553,11.4900,1.3002
"07 Oct 2025",0.5396,0.0647,0.0562,0.0756,0.0553,11.3900,1.3007
"06 Oct 2025",0.5396,0.0645,0.0562,0.0755,0.0552,11.3400,1.3030
"03 Oct 2025",0.5388,0.0644,0.0562,0.0755,0.0551,11.1400,1.3054
"02 Oct 2025",0.5400,0.0645,0.0562,0.0757,0.0552,11.1400,1.3033
"26 Sep 2025",0.5366,0.0643,0.0563,0.0751,0.0550,11.2500,1.3094
"25 Sep 2025",0.5378,0.0642,0.0560,0.0754,0.0550,11.2300,1.3083
"24 Sep 2025",0.5398,0.0642,0.0561,0.0758,0.0552,11.2200,1.3053
"23 Sep 2025",0.5376,0.0641,0.0559,0.0755,0.0550,11.1600,1.3099
"22 Sep 2025",0.5370,0.0643,0.0560,0.0755,0.0550,11.1800,1.3091
"19 Sep 2025",0.5364,0.0641,0.0559,0.0754,0.0549,11.1400,1.3117
"18 Sep 2025",0.5355,0.0639,0.0554,0.0753,0.0548,11.1100,1.3153
"17 Sep 2025",0.5376,0.0638,0.0555,0.0757,0.0549,11.0900,1.3129
"16 Sep 2025",0.5378,0.0642,0.0555,0.0756,0.0550,11.1100,1.3112
"15 Sep 2025",0.5374,0.0644,0.0556,0.0754,0.0550,11.1300,1.3114
"12 Sep 2025",0.5371,0.0643,0.0557,0.0754,0.0550,11.1300,1.3117
"11 Sep 2025",0.5350,0.0643,0.0556,0.0751,0.0548,11.1000,1.3158
"10 Sep 2025",0.5349,0.0642,0.0555,0.0751,0.0548,11.0800,1.3170
"09 Sep 2025",0.5362,0.0640,0.0555,0.0753,0.0548,11.0700,1.3171
"08 Sep 2025",0.5350,0.0640,0.0555,0.0750,0.0548,11.1100,1.3189
"05 Sep 2025",0.5327,0.0640,0.0554,0.0747,0.0546,11.0700,1.3234
"04 Sep 2025",0.5333,0.0641,0.0556,0.0747,0.0546,11.0700,1.3224
"03 Sep 2025",0.5335,0.0642,0.0558,0.0747,0.0547,11.0900,1.3214
"02 Sep 2025",0.5350,0.0640,0.0554,0.0749,0.0547,11.0900,1.3215
"01 Sep 2025",0.5347,0.0640,0.0555,0.0750,0.0547,11.0200,1.3214
"29 Aug 2025",0.5327,0.0641,0.0554,0.0747,0.0546,10.9900,1.3246
"28 Aug 2025",0.5346,0.0643,0.0554,0.0748,0.0547,11.0100,1.3223
"27 Aug 2025",0.5356,0.0644,0.0556,0.0748,0.0548,11.0500,1.3209
"26 Aug 2025",0.5362,0.0644,0.0557,0.0749,0.0548,11.0700,1.3194
"25 Aug 2025",0.5391,0.0643,0.0557,0.0754,0.0550,11.1000,1.3157
"22 Aug 2025",0.5361,0.0644,0.0557,0.0746,0.0547,11.0800,1.3228
"21 Aug 2025",0.5368,0.0643,0.0556,0.0748,0.0547,11.0300,1.3230
"20 Aug 2025",0.5372,0.0643,0.0554,0.0748,0.0547,11.0100,1.3237
"19 Aug 2025",0.5381,0.0642,0.0555,0.0749,0.0548,11.0500,1.3228
"18 Aug 2025",0.5389,0.0641,0.0554,0.0750,0.0548,11.0600,1.3224
"15 Aug 2025",0.5396,0.0644,0.0554,0.0751,0.0549,11.0500,1.3203
"14 Aug 2025",0.5398,0.0643,0.0554,0.0753,0.0549,11.0100,1.3201
"13 Aug 2025",0.5399,0.0643,0.0556,0.0752,0.0549,11.1100,1.3195
"12 Aug 2025",0.5373,0.0643,0.0556,0.0747,0.0547,11.0700,1.3250
"11 Aug 2025",0.5378,0.0641,0.0556,0.0748,0.0547,11.0400,1.3252
"08 Aug 2025",0.5373,0.0642,0.0557,0.0748,0.0547,11.0200,1.3257
"07 Aug 2025",0.5372,0.0641,0.0559,0.0748,0.0547,11.0100,1.3263
"06 Aug 2025",0.5351,0.0642,0.0559,0.0744,0.0546,10.9700,1.3297
"05 Aug 2025",0.5334,0.0642,0.0559,0.0742,0.0545,10.9200,1.3320
"04 Aug 2025",0.5314,0.0640,0.0558,0.0740,0.0543,10.9400,1.3364
"01 Aug 2025",0.5302,0.0643,0.0556,0.0735,0.0543,11.0600,1.3385
"31 Jul 2025",0.5332,0.0647,0.0558,0.0741,0.0546,11.0200,1.3306
"30 Jul 2025",0.5342,0.0644,0.0557,0.0744,0.0546,11.0100,1.3302
"29 Jul 2025",0.5339,0.0643,0.0557,0.0744,0.0546,11.0300,1.3316
"28 Jul 2025",0.5366,0.0639,0.0558,0.0748,0.0547,11.0900,1.3296
"25 Jul 2025",0.5384,0.0640,0.0557,0.0752,0.0548,11.0500,1.3269
"24 Jul 2025",0.5391,0.0641,0.0556,0.0754,0.0549,11.0300,1.3247
"23 Jul 2025",0.5398,0.0642,0.0557,0.0754,0.0550,11.0600,1.3238
"18 Jul 2025",0.5365,0.0643,0.0557,0.0747,0.0547,11.1100,1.3292
"17 Jul 2025",0.5350,0.0643,0.0557,0.0745,0.0546,11.0800,1.3319
"16 Jul 2025",0.5352,0.0641,0.0556,0.0745,0.0546,11.0800,1.3329
"15 Jul 2025",0.5361,0.0639,0.0556,0.0747,0.0546,11.0300,1.3331
"14 Jul 2025",0.5339,0.0639,0.0553,0.0745,0.0545,10.9700,1.3372
"11 Jul 2025",0.5371,0.0641,0.0553,0.0749,0.0547,11.0000,1.3315
"10 Jul 2025",0.5390,0.0640,0.0551,0.0751,0.0547,10.9800,1.3315
"09 Jul 2025",0.5383,0.0640,0.0552,0.0749,0.0547,11.0200,1.3327
"08 Jul 2025",0.5377,0.0639,0.0550,0.0750,0.0546,10.9500,1.3342
"07 Jul 2025",0.5386,0.0638,0.0552,0.0751,0.0547,10.8900,1.3336
"04 Jul 2025",0.5418,0.0642,0.0553,0.0756,0.0550,10.9100,1.3257
"03 Jul 2025",0.5414,0.0641,0.0554,0.0756,0.0549,10.8700,1.3275
"02 Jul 2025",0.5407,0.0640,0.0549,0.0755,0.0548,10.8400,1.3303
"30 Jun 2025",0.5381,0.0641,0.0547,0.0752,0.0547,10.8200,1.3337
"27 Jun 2025",0.5376,0.0641,0.0546,0.0750,0.0546,10.8300,1.3352
"26 Jun 2025",0.5385,0.0644,0.0549,0.0752,0.0548,10.8700,1.3313
"25 Jun 2025",0.5374,0.0645,0.0550,0.0750,0.0548,10.8800,1.3319
"24 Jun 2025",0.5381,0.0646,0.0552,0.0750,0.0548,10.8800,1.3311
"23 Jun 2025",0.5326,0.0644,0.0552,0.0741,0.0544,10.9200,1.3402
"20 Jun 2025",0.5339,0.0645,0.0551,0.0743,0.0545,10.8100,1.3383
"19 Jun 2025",0.5328,0.0647,0.0553,0.0741,0.0545,10.7600,1.3402
"18 Jun 2025",0.5353,0.0647,0.0553,0.0745,0.0546,10.7900,1.3359
"17 Jun 2025",0.5371,0.0647,0.0551,0.0748,0.0547,10.8200,1.3336
"16 Jun 2025",0.5361,0.0647,0.0550,0.0746,0.0546,10.7600,1.3360
"13 Jun 2025",0.5350,0.0646,0.0550,0.0745,0.0545,10.6900,1.3388
"12 Jun 2025",0.5387,0.0651,0.0553,0.0750,0.0550,10.7800,1.3289
"11 Jun 2025",0.5384,0.0656,0.0556,0.0749,0.0551,10.8800,1.3254
"10 Jun 2025",0.5379,0.0656,0.0553,0.0748,0.0550,10.8200,1.3274
"09 Jun 2025",0.5378,0.0655,0.0552,0.0748,0.0550,10.8000,1.3284
"06 Jun 2025",0.5379,0.0655,0.0553,0.0749,0.0550,10.7900,1.3282
"05 Jun 2025",0.5365,0.0655,0.0551,0.0747,0.0549,10.6900,1.3314
"04 Jun 2025",0.5363,0.0656,0.0552,0.0746,0.0549,10.7400,1.3318
"03 Jun 2025",0.5375,0.0653,0.0552,0.0747,0.0548,10.6700,1.3328
"02 Jun 2025",0.5365,0.0653,0.0550,0.0744,0.0547,10.6500,1.3360
"30 May 2025",0.5361,0.0657,0.0553,0.0746,0.0549,10.7300,1.3311
"28 May 2025",0.5343,0.0656,0.0551,0.0743,0.0548,10.7200,1.3350
"27 May 2025",0.5362,0.0656,0.0550,0.0746,0.0549,10.6900,1.3329
"26 May 2025",0.5362,0.0655,0.0550,0.0748,0.0549,10.6800,1.3319
"23 May 2025",0.5351,0.0657,0.0553,0.0743,0.0548,10.6700,1.3347
"22 May 2025",0.5356,0.0656,0.0554,0.0744,0.0548,10.6500,1.3350
"21 May 2025",0.5364,0.0656,0.0553,0.0745,0.0549,10.6900,1.3336
"20 May 2025",0.5339,0.0657,0.0553,0.0740,0.0547,10.6900,1.3380
"19 May 2025",0.5337,0.0660,0.0556,0.0740,0.0548,10.7300,1.3354
"16 May 2025",0.5331,0.0660,0.0556,0.0741,0.0548,10.7600,1.3346
"15 May 2025",0.5303,0.0657,0.0554,0.0736,0.0545,10.7300,1.3421
"14 May 2025",0.5295,0.0656,0.0552,0.0735,0.0545,10.8000,1.3438
"13 May 2025",0.5278,0.0661,0.0557,0.0734,0.0546,10.8600,1.3398
"12 May 2025",0.5322,0.0657,0.0555,0.0737,0.0546,10.7700,1.3406
"09 May 2025",0.5333,0.0655,0.0556,0.0736,0.0545,10.7100,1.3428
"08 May 2025",0.5328,0.0652,0.0554,0.0736,0.0544,10.6200,1.3454
"07 May 2025",0.5336,0.0650,0.0553,0.0739,0.0544,10.5600,1.3459
"06 May 2025",0.5318,0.0651,0.0554,0.0737,0.0544,10.6000,1.3472
"05 May 2025",0.5293,0.0649,0.0553,0.0735,0.0542,10.6000,1.3513
"02 May 2025",0.5317,0.0648,0.0551,0.0734,0.0542,10.6500,1.3517
"30 Apr 2025",0.5318,0.0643,0.0547,0.0732,0.0539,10.4400,1.3588
"29 Apr 2025",0.5325,0.0643,0.0546,0.0732,0.0539,10.4300,1.3592
"28 Apr 2025",0.5322,0.0642,0.0550,0.0729,0.0538,10.4800,1.3620
"25 Apr 2025",0.5290,0.0640,0.0546,0.0726,0.0536,10.4300,1.3674
"24 Apr 2025",0.5325,0.0643,0.0549,0.0730,0.0539,10.4200,1.3613
"23 Apr 2025",0.5345,0.0644,0.0551,0.0733,0.0540,10.3900,1.3579
"22 Apr 2025",0.5351,0.0635,0.0546,0.0732,0.0537,10.2600,1.3668
"17 Apr 2025",0.5308,0.0639,0.0549,0.0726,0.0536,10.3700,1.3682
"16 Apr 2025",0.5298,0.0635,0.0544,0.0723,0.0533,10.2900,1.3754
"15 Apr 2025",0.5309,0.0640,0.0550,0.0726,0.0536,10.3800,1.3680
"14 Apr 2025",0.5291,0.0635,0.0551,0.0724,0.0534,10.3200,1.3737
"11 Apr 2025",0.5236,0.0634,0.0550,0.0714,0.0530,10.2800,1.3842
